Event Name,Datum,Start,Kategorie,Status,Veranstaltungsort,Beschreibung,Veranstalter,Quelle,Link
Algorand Builders Berlin: Agentic Commerce x402 Hackathon,2026-06-06,,Talk / Conf,Open RSVP,"42 Berlin, Harzer Str. 42, 12059 Berlin","$20,000 prizepool; 6-7 June",,Luma,https://luma.com/agentic-commerce-hack
Diversity Drinks🍸🍹🍷🍾,2026-06-09,,Drinks,Invite only,Berlin,approval required; SuperVenture/SuperReturn,,Luma,https://luma.com/s6ace0xk
AI & BBQ 2026,2026-06-09,,Networking,Invite only,"Merantix AI Campus, Max-Urich-Straße 3, 13355 Berlin",invite-only,,Luma,https://luma.com/ztls1sjs
SuperReturn Berlin Women in Finance Group Side event,2026-06-09,,Networking,Invite only,Berlin,approval required,,Luma,https://luma.com/864v5rn0
What It Takes to Get Funded: Live Investor Q&A w/ Maayan Teper,2026-06-09,,Networking,Open RSVP,Online (Berlin Startup Founder 101),online webinar,,Meetup,https://www.meetup.com/berlin-startup-founder-101/events/314737240/
Business Netzwerken Berlin in Moabit,2026-06-09,,Networking,Open RSVP,"CI Space, Bugenhagenstraße 9, 10551 Berlin",German-only,,Meetup,https://www.meetup.com/business-netzwerken-berlin/events/314690230/
Coworking at Gesundbrunnen,2026-06-09,,Networking,Open RSVP,"Moxy Berlin Humboldthain Park, Hochstraße 2, 13357 Berlin",recurring biweekly,,Meetup,https://www.meetup.com/berlin-coworking-club/events/312626669/
The Breakfast Club — Interface Capital x Multiple Capital,2026-06-09,,Breakfast,Invite only,Berlin,approval required; during SuperVenture,,Luma,https://luma.com/6jnesz4p
Retrieve. Remember. Reason - with Women of Search,2026-06-09,,Networking,Invite only,"deepset GmbH, Zinnowitzer Str. 1, 10115 Berlin",approval required,,Luma,https://luma.com/xrf6httx
https://www.instagram.com/p/DYrvI-ioO8j/,2026-06-09,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DYrvI-ioO8j/
Female Health Founder After Work,2026-06-09,,Networking,Open RSVP,"Mindspace Kurfürstendamm, Uhlandstraße 32, 10719 Berlin",,,Eventbrite,https://www.eventbrite.de/e/female-health-founder-after-work-tickets-1990229554172
"Tech, Truth & Transparency: Who Controls Berlin's Tech Culture?",2026-06-09,,Networking,Open RSVP,"The Social Hub Berlin, Alexanderstraße 40, 10179 Berlin",,,Luma,https://luma.com/erce5ujj
The Real Cost of Hiring Decisions Globally - With AI or Without,2026-06-09,,Networking,Waitlist,"MOIA GmbH, Alexanderufer 5, 10117 Berlin",registration closed,,Luma,https://luma.com/talent-d2tr
The SuperSalon Dinner,2026-06-09,,Dinner,Invite only,"Moritzplatz, Berlin",approval required,,Luma,https://luma.com/superdinner
The Edge,2026-06-09,,Networking,Invite only,Berlin,approval required,,Luma,https://luma.com/fomosupernight
Responsible and Impactful AI Breakfast @ Super Venture,2026-06-09,,Breakfast,Invite only,Berlin Mitte,private; approval required,,Luma,https://luma.com/b80iofv7
Super Sundowner Berlin,2026-06-09,,Drinks,Waitlist,Berlin,waitlist,,Luma,https://luma.com/id8wx5z8
Super Climate Berlin,2026-06-09,,Networking,Invite only,Berlin,private; approval required; early June,,Luma,https://luma.com/SC_Berlin
SuperRun Berlin,2026-06-10,,Activity,Invite only,Berlin (Zoologischer Garten area),approval required,,Luma,https://luma.com/luarqn63
Berlin SEO & Content Club #12 x idealo,2026-06-10,,Party,Open RSVP,"idealo internet GmbH, Zimmerstraße 50, 10117 Berlin",past event,,Luma,https://luma.com/event/evt-yogeuTXvrj73NHv
Flight Levels Flight Club #12,2026-06-10,,Party,Open RSVP,"ImmoScout24, Invalidenstraße 65, 10557 Berlin",,,Meetup,https://www.meetup.com/flight-levels-flight-club-berlin/events/314888162/
Walk and Talk: Finanzielle Freiheit und Anlagestrategien,2026-06-10,,Activity,Open RSVP,"Botschaft der Republik Korea, Stülerstraße 8-10, 10787 Berlin",recurring,,Meetup,https://www.meetup.com/aktienfueralle/events/313187937/
55. Magento Stammtisch Berlin,2026-06-10,,Talk / Conf,Open RSVP,"PHOENIX MEDIA Berlin GmbH, Landsberger Allee 53, 10249 Berlin",,,Meetup,https://www.meetup.com/magento-stammtisch-berlin/events/314176381/
https://www.instagram.com/p/DY4F2HWi8PX/,2026-06-10,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DY4F2HWi8PX/
https://www.instagram.com/p/DY2RPUcseFT/,2026-06-10,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DY2RPUcseFT/
Constant Pressure - Thriving in the Start-Up Bubble,2026-06-10,,Networking,Open RSVP,"Factory Berlin Mitte, Rheinsberger Str. 76/77, Berlin",,,Luma,https://luma.com/p9awy8ny
Cafe Compute Meetup: Berlin,2026-06-10,,Talk / Conf,Invite only,"Merantix AI Campus, Berlin",approval required,,Luma,https://luma.com/cerebrasberlin
"Super Aperitivo II by PT1, Carbon Equity, HELIAD, Norrsken and FOMO",2026-06-10,,Drinks,Invite only,West Berlin,private; approval required,,Luma,https://luma.com/superaperitivo2
https://gtlawinfo.com/rv/ff010392ab905899c7660f00754d9f148f0360e5,2026-06-10,,Networking,Open RSVP,,blocked (Greenberg Traurig redirect),,Website,https://gtlawinfo.com/rv/ff010392ab905899c7660f00754d9f148f0360e5
ESCP × JUNI Investor BBQ - A SuperReturn week garden gathering,2026-06-10,,Networking,Waitlist,"ESCP Business School Berlin, Heubnerweg 8-10, 14059 Berlin",waitlist,,Luma,https://luma.com/0bsn1r16
"TECHBIO APERITIVO | Planet A, Verve, Redalpine",2026-06-10,,Drinks,Open RSVP,,registration page,,Website,https://gatsby.events/planet-a/rsvp/register?e=techbio-aperitivo-i-planet-a-verve-ventures-redalpine
Revenue Royale,2026-06-11,,Networking,Invite only,"Tipi am Kanzleramt, Berlin",invite-only gala,,Website,https://revenue-royale.de/en
Meet the GP: Juliane Hahn of Signature Ventures,2026-06-11,,Networking,Invite only,"Kramer, Neukölln, Berlin",private; approval required,,Luma,https://luma.com/39935e65
