event_id,title,category,fomo_section,status,date,day_of_week,month,location,source,url,notes,enriched
algorand-builders-berlin-agentic-commerce-x402-hackathon,Algorand Builders Berlin: Agentic Commerce x402 Hackathon,Opportunity,Top Events,confirmed,2026-06-06,Saturday,2026-06,"42 Berlin, Harzer Str. 42, 12059 Berlin",Luma,https://luma.com/agentic-commerce-hack,"$20,000 prizepool; 6-7 June",True
diversity-drinks,Diversity Drinks🍸🍹🍷🍾,Event,Daily Events,confirmed,2026-06-09,Tuesday,2026-06,Berlin,Luma,https://luma.com/s6ace0xk,approval required; SuperVenture/SuperReturn,True
ai-bbq-2026,AI & BBQ 2026,Event,Daily Events,confirmed,2026-06-09,Tuesday,2026-06,"Merantix AI Campus, Max-Urich-Straße 3, 13355 Berlin",Luma,https://luma.com/ztls1sjs,invite-only,True
superreturn-berlin-women-in-finance-group-side-event,SuperReturn Berlin Women in Finance Group Side event,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,Berlin,Luma,https://luma.com/864v5rn0,approval required,True
what-it-takes-to-get-funded-live-investor-q-a-w-maayan-teper,What It Takes to Get Funded: Live Investor Q&A w/ Maayan Teper,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,Online (Berlin Startup Founder 101),Meetup,https://www.meetup.com/berlin-startup-founder-101/events/314737240/,online webinar,True
business-netzwerken-berlin-in-moabit,Business Netzwerken Berlin in Moabit,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,"CI Space, Bugenhagenstraße 9, 10551 Berlin",Meetup,https://www.meetup.com/business-netzwerken-berlin/events/314690230/,German-only,True
coworking-at-gesundbrunnen,Coworking at Gesundbrunnen,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,"Moxy Berlin Humboldthain Park, Hochstraße 2, 13357 Berlin",Meetup,https://www.meetup.com/berlin-coworking-club/events/312626669/,recurring biweekly,True
the-breakfast-club-interface-capital-x-multiple-capital,The Breakfast Club — Interface Capital x Multiple Capital,Event,Daily Events,confirmed,2026-06-09,Tuesday,2026-06,Berlin,Luma,https://luma.com/6jnesz4p,approval required; during SuperVenture,True
retrieve-remember-reason-with-women-of-search,Retrieve. Remember. Reason - with Women of Search,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,"deepset GmbH, Zinnowitzer Str. 1, 10115 Berlin",Luma,https://luma.com/xrf6httx,approval required,True
event,https://www.instagram.com/p/DYrvI-ioO8j/,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,,Instagram,https://www.instagram.com/p/DYrvI-ioO8j/,Instagram login wall,False
female-health-founder-after-work,Female Health Founder After Work,Event,Daily Events,pending,2026-06-09,Tuesday,2026-06,"Mindspace Kurfürstendamm, Uhlandstraße 32, 10719 Berlin",Eventbrite,https://www.eventbrite.de/e/female-health-founder-after-work-tickets-1990229554172,,True
